time[sec],ax[m/s^2],ay[m/s^2],az[m/s^2],gx[rad/s],gy[rad/s],gz[rad/s]
2.600,0.311,-0.220,9.551,-0.029,0.011,0.010
2.610,0.283,-0.177,9.523,-0.024,0.011,0.010
2.620,0.254,-0.220,9.499,-0.027,0.008,0.008
2.630,0.249,-0.134,9.518,-0.029,0.009,0.008
2.640,0.268,-0.158,9.451,-0.027,0.010,0.009
2.650,0.220,-0.148,9.570,-0.028,0.009,0.007
2.660,0.244,-0.268,9.547,-0.028,0.012,0.008
2.670,0.283,-0.182,9.513,-0.031,0.008,0.008
2.680,0.201,-0.172,9.513,-0.025,0.009,0.009
2.690,0.263,-0.134,9.556,-0.028,0.011,0.012
2.700,0.206,-0.168,9.432,-0.030,0.009,0.012
2.710,0.230,-0.225,9.566,-0.026,0.011,0.007
2.720,0.278,-0.153,9.479,-0.028,0.012,0.010
2.730,0.216,-0.230,9.475,-0.028,0.005,0.010
2.740,0.278,-0.148,9.532,-0.029,0.012,0.010
2.750,0.302,-0.187,9.537,-0.027,0.006,0.006
2.760,0.259,-0.158,9.422,-0.028,0.009,0.009
2.770,0.316,-0.139,9.470,-0.026,0.013,0.010
2.780,0.292,-0.163,9.523,-0.028,0.011,0.012
2.790,0.259,-0.163,9.489,-0.028,0.010,0.010
2.800,0.230,-0.158,9.499,-0.027,0.008,0.010
2.810,0.240,-0.148,9.503,-0.025,0.014,0.010
2.820,0.225,-0.192,9.503,-0.026,0.009,0.009
2.830,0.268,-0.177,9.503,-0.027,0.012,0.009
2.840,0.311,-0.206,9.484,-0.032,0.009,0.009
2.850,0.206,-0.254,9.484,-0.027,0.008,0.009
2.860,0.331,-0.182,9.614,-0.027,0.009,0.007
2.870,0.235,-0.201,9.499,-0.029,0.007,0.009
2.880,0.235,-0.182,9.532,-0.028,0.012,0.013
2.890,0.240,-0.196,9.475,-0.029,0.009,0.010
2.900,0.283,-0.192,9.484,-0.024,0.011,0.011
2.910,0.297,-0.144,9.494,-0.027,0.010,0.008
2.920,0.249,-0.192,9.523,-0.032,0.009,0.010
2.930,0.259,-0.148,9.465,-0.026,0.009,0.009
2.940,0.259,-0.148,9.551,-0.023,0.014,0.010
2.950,0.240,-0.163,9.460,-0.028,0.013,0.012
2.960,0.302,-0.201,9.561,-0.029,0.011,0.010
2.970,0.230,-0.240,9.513,-0.030,0.010,0.012
2.980,0.287,-0.148,9.527,-0.028,0.012,0.008
2.990,0.263,-0.196,9.484,-0.033,0.011,0.011
3.000,0.268,-0.225,9.551,-0.026,0.011,0.009
3.010,0.263,-0.158,9.570,-0.028,0.013,0.008
3.020,0.302,-0.187,9.441,-0.027,0.010,0.010
3.030,0.283,-0.196,9.408,-0.030,0.008,0.013
3.040,0.297,-0.172,9.494,-0.029,0.007,0.009
3.050,0.278,-0.177,9.499,-0.028,0.010,0.010
3.060,0.259,-0.192,9.561,-0.027,0.007,0.011
3.070,0.254,-0.182,9.460,-0.029,0.011,0.012
3.080,0.292,-0.182,9.518,-0.028,0.012,0.009
3.090,0.292,-0.216,9.599,-0.026,0.007,0.011
3.100,0.292,-0.182,9.508,-0.029,0.006,0.009
3.110,0.297,-0.172,9.537,-0.030,0.009,0.013
3.120,0.235,-0.120,9.479,-0.026,0.012,0.011
3.130,0.307,-0.134,9.451,-0.027,0.011,0.009
3.140,0.249,-0.220,9.446,-0.029,0.010,0.007
3.150,0.196,-0.153,9.590,-0.029,0.012,0.008
3.160,0.302,-0.153,9.527,-0.028,0.008,0.012
3.170,0.240,-0.168,9.499,-0.030,0.009,0.008
3.180,0.283,-0.196,9.527,-0.030,0.013,0.009
3.190,0.359,-0.196,9.499,-0.023,0.009,0.008
3.200,0.220,-0.182,9.479,-0.028,0.015,0.010
3.210,0.268,-0.144,9.436,-0.027,0.008,0.009
3.220,0.259,-0.129,9.566,-0.026,0.009,0.010
3.230,0.307,-0.220,9.532,-0.028,0.009,0.013
3.240,0.302,-0.177,9.503,-0.028,0.009,0.009
3.250,0.292,-0.134,9.609,-0.029,0.012,0.010
3.260,0.225,-0.206,9.566,-0.027,0.013,0.013
3.270,0.287,-0.187,9.518,-0.027,0.011,0.013
3.280,0.287,-0.177,9.561,-0.028,0.007,0.011
3.290,0.244,-0.163,9.542,-0.026,0.009,0.010
3.300,0.259,-0.182,9.460,-0.028,0.013,0.011
